"","x"
"1",0
"2",1.67513112285983
"3",2.42200342765412
"4",2.90733109702705
"5",3.17582330564843
"6",2.06616667069775
"7",1.25644382622513
"8",-2.09188987046391
"9",-3.23752277163547
"10",-3.96171097399796
"11",-3.80430143158923
"12",-5.18067786990884
"13",-8.0971891234998
"14",-12.0176116725457
"15",-13.5288286282812
"16",-14.6091411429727
"17",-13.4827646398432
"18",-14.902742429008
"19",-17.0273291359488
"20",-19.2806615092011
"21",-20.1094152752947
"22",-22.0671268245313
"23",-23.6426530799372
"24",-26.8849549975373
"25",-28.8000834487104
"26",-31.0765417562443
"27",-32.7853416603662
"28",-35.8916454425441
"29",-40.210223273924
"30",-44.4864450740324
"31",-48.4499736858374
"32",-48.8713219926907
"33",-48.8430358117366
"34",-49.0627977759411
"35",-51.2519767754985
"36",-54.0746262907109
"37",-55.9511702523476
"38",-57.4927997592912
"39",-57.5767095317167
"40",-57.414008683767
"41",-58.0071757979814
"42",-58.728082671023
"43",-62.4492098263985
"44",-64.5510550384714
"45",-66.5938467820547
"46",-67.4314189405009
"47",-69.3813628919082
"48",-71.0437833905787
"49",-72.0662217863392
"50",-70.9370090652292
"51",-68.4625884054631
